ItemCode;ItemProviderCode;Description;CreationDate;IsActive;FILTRO PER TIPO;COLLAUDO         MESE     ANNO;;REVISIONE MESE   ANNO;;Intervento Richiesto;Provenienza;Destinazione;prog. Scheda;StateId;DataUltima Movimentazione;OperatoreUltimoMovimento;NOTE O PROBLEMI
2360;CSQ;EP6CE;;;6;;;5;22;;CORRIDONI 25;ASQUINI 95-99;;USO;15/06/2022;RI;
2361;CSQ;EP6CE;;;6;;;9;22;;FAVRETTO 5;LUCCA 12;;USO;12/10/2022;S;
2362;CSQ;EP6CE;;;6;;;5;22;;LUCCA 12;COVELLI 6;;USO;24/05/2022;RI;
2363;CSQ;EP6CE;;;6;;;9;22;;CAULONIA 12;CAMPANI 83;;USO;12/10/2022;S;
2364;CSQ;EP6CE;;;6;;;5;22;;FURIO CAMILLO 63;GRANATIERI 3;;USO;23/08/2022;RI;
2365;;EP6CE;;;6;;;9;22;;MUZIO SCEVOLA 65;CAMPANI 83;;USO;12/10/2022;S;
2366;;EP6CE;;;6;;;12;22;;MENGOTTI 55;VIGNA STELLUTI 157;;USO;03/01/2023;G;
2367;CSQ;EP6CE;;;6;;;3;22;;ORSA MAGGIORE 111;PENTIMALLI 43;;USO;14/04/2022;RI;
2368;CSQ;EP6CE;;;6;;;10;22;;STUDIO BURGARELLA;C.D.L.T. PRIMAVALLE;;USO;10/11/2022;S;
2369;CSQ;EP6CE;;;6;;;9;22;;QUERINI 8-10;CAMPANI 83;;USO;12/10/2022;S;
2370;CSQ;EP6CE;;;6;;;9;22;;QUERINI 8-10;VILLA ALESSANDRA;;USO;17/11/2022;S;
2371;CSQ;EP6CE;;;6;;;3;22;;SARTORIO 26;PENTIMALLI 43;;USO;14/04/2022;RI;
2372;CSQ;EP6CE;;;6;;;3;23;R;PINTO 22;AURELIA ANTICA 354;;USO;13/03/2023;G;
2373;;EP6CE;;;6;;;9;22;;CADLOLO 140;PIAZZA DELLE IRIS 26;;USO;12/10/2022;S;
2374;CSQ;EP6CE;;;6;;;2;23;;BRIGHENTI 23 PAL C;MANCINI 8;;USO;06/03/2023;S;
2375;CSQ;EP6CE;;;6;;;3;22;;SAN GIOVANNI IN ARGENTELLA;CASALOTTI 342;;USO;14/04/2022;RI;
2376;;EP6CE;;;6;;;9;22;;CADLOLO 140;PIAZZA DELLE IRIS 26;;USO;12/10/2022;S;
2377;CSQ;EP6CE;;;6;;;12;22;;QUERINI 1;TRASTEVERE 166/172;;USO;02/02/2023;G;
2378;;EP6CE;;;6;;;9;22;;CO.GE.MA.;PIAZZA DELLE IRIS 26;;USO;12/10/2022;S;
2379;;EP6CE;;;6;;;9;22;;MARVELLI 6 ED 1;PIAZZA DELLE IRIS 26;;USO;12/10/2022;S;
2380;;EP6CE;;;6;;;9;22;;MARVELLI 6 ED 1;PIAZZA DELLE IRIS 26;;USO;12/10/2022;S;
2381;;EP6CE;;;6;;;9;22;;MARVELLI 6 ED 1;PIAZZA DELLE IRIS 26;;USO;12/10/2022;S;
2382;ABS;EP6CE;;;6;;;3;22;;SAN GIOVANNI IN ARGENTELLA;CASALOTTI 342;;USO;14/04/2022;RI;
2383;CSQ;EP6CE;;;6;;;3;22;;SAN GIOVANNI IN ARGENTELLA;CASALOTTI 342;;USO;14/04/2022;RI;
2384;;EP6CE;;;6;;;3;22;;SAN GIOVANNI IN ARGENTELLA;NISIO 53;;USO;14/04/2022;RI;
2385;;EP6CE;;;6;;;9;22;;MARVELLI 6 ED 1;PIAZZA DELLE IRIS 26;;USO;12/10/2022;S;
2386;CSQ;EP6CE;;;6;;;2;23;R;BRIGHENTI 23 PAL C;RIBOTTI 14;;USO;07/03/2023;S;
2387;CSQ;EP6CE;;;6;;;12;22;;QUERINI 1;CAULONIA 12;;USO;31/01/2023;S;
2388;CSQ;EP6CE;;;6;;;12;22;;QUERINI 1;SCIPIONE AMMIRATO 3;;USO;31/01/2023;S;
2389;CSQ;EP6CE;;;6;;;12;22;;QUERINI 1;APPIA NUOVA 397;;USO;31/01/2023;S;
2390;CSQ;EP6CE;;;6;;;12;22;;QUERINI 1;APPIA NUOVA 397;;USO;31/01/2023;S;
2391;CSQ;EP6CE;;;6;;;;;;CESAREO 48;;;USO;03/07/2019;G;
2392;CSQ;EP6CE;;;6;;;9;22;;BRIGHENTI 23 PAL C;PIAZZA DELLE IRIS 26;;USO;12/10/2022;S;
2393;CSQ;EP6CE;;;6;;;2;23;;BRIGHENTI 23 PAL C;SUPERCONDOMINIO FRATTI-COLONNA-FRUGIUELE;;USO;07/03/2023;S;
2394;CSQ;EP6CE;;;6;;;9;22;;BRIGHENTI 23 PAL C;PIAZZA DELLE IRIS 26;;USO;12/10/2022;S;
2395;CSQ;EP6CE;;;6;;;9;22;;SARTORIO 19;PIAZZA DELLE IRIS 26;;USO;12/10/2022;S;
2396;CSQ;EP6CE;;;6;;;9;22;;SARTORIO 19;PIAZZA DELLE IRIS 26;;USO;12/10/2022;S;
2397;CSQ;EP6CE;;;6;;;9;22;;BRIGHENTI 23 PAL C;PIAZZA DELLE IRIS 26;;USO;12/10/2022;S;
2398;CSQ;EP6CE;;;6;;;3;22;;QUERINI 9;SANZENO 20;;USO;14/04/2022;RI;
2399;MOBIAK;EP6CE;;;6;;;3;22;;QUERINI 9;ORTI DELLA FARNESINA 18;;USO;14/04/2022;RI;
2400;CSQ;EP6CE;;;6;;;3;22;;QUERINI 9;ORTI DELLA FARNESINA 18;;USO;14/04/2022;RI;
2401;CSQ;EP6CE;;;6;;;9;22;;;PIAZZA DELLE IRIS 26;;USO;12/10/2022;S;
2402;CSQ;EP6CE;;;6;;;9;22;;QUERINI 8-10;VILLA ALESSANDRA;;USO;17/11/2022;S;
2403;CSQ;EP6CE;;;6;;;6;22;;C.D.T.L. PRIMA VALLE;SAN GODENZIO 180;;USO;07/07/2022;RI;
2404;CSQ;EP6CE;;;6;;;10;22;;LUCCA 12;C.D.L.T. PRIMAVALLE;;USO;10/11/2022;S;
2405;;EP6CE;;;6;;;;;R;PROSPERO CLONNA 37;ARTIFICIERI 38;;USO;03/04/2023;S;
2406;;EP6CE;;;6;;;5;22;;ORTI DELLA FARNESINA;ASQUINI 95-99;;USO;15/06/2022;RI;
2407;CSQ;EP6CE;;;6;;;10;22;;PAVIA 110;ANNIBALE MARIA DI FRANCIA 93;;USO;15/11/2022;GIO;
2408;CSQ;EP6CE;;;6;;;9;22;;IPPOCRATE 23;VILLA ALESSANDRA;;USO;17/11/2022;S;
2409;CSQ;EP6CE;;;6;;;6;22;;QUERINI 1;SAN GODENZIO 180;;USO;07/07/2022;RI;
2410;CSQ;EP6CE;;;6;;;10;22;;OGLIASTRA 8;AMENDOLA 96;;USO;16/11/2022;S;
2411;CSQ;EP6CE;;;6;;;;;;CSQ;DICOMANO;;USO;26/06/2019;G;
2412;CSQ;EP6CE;;;6;;;;;;CSQ;DICOMANO;;USO;26/06/2019;I;
2413;CSQ;EP6CE;;;6;;;;;;CSQ;DICOMANO;;USO;26/06/2019;RI;
2414;CSQ;EP6CE;;;6;;;12;22;;COVELLI 6;CAMILLA 9;;USO;31/01/2023;S;
2415;CSQ;EP6CE;;;6;;;6;22;;QUERINI 1;CADLOLO 140;;USO;12/07/2022;RI;
2416;CSQ;EP6CE;;;6;;;6;22;;STUDIO MATRONE;CADLOLO 140;;USO;12/07/2022;RI;
2417;CSQ;EP6CE;;;6;;;5;22;;CELSO 3;COVELLI 6;;USO;24/05/2022;RI;
2418;CSQ;EP6CE;;;6;;;10;22;;IRIS 26;AMENDOLA 96;;USO;16/11/2022;S;
2419;CSQ;EP6CE;;;6;;;12;22;;OLIVA 44;GARAGE PRATI FISCALI 199A;;USO;25/01/2023;S;
2420;CSQ;EP6CE;;;6;;;6;22;;STUDIO MATRONE;TRASTEVERE 166/172;;USO;12/07/2022;RI;
2421;;EP6CE;;;6;;;12;22;;CASALOTTI 342;VENEZIA GIULIA 24;;USO;24/01/2023;S;
2422;CSQ;EP6CE;;;6;;;12;22;;COVELLI 6;GARAGE PRATI FISCALI 199A;;USO;25/01/2023;S;
2423;CSQ;EP6CE;;;6;;;12;22;;C.D.T.L. PRIMA VALLE;BORGO SAN ROCCO 33;;USO;25/01/2023;S;
2424;CSQ;EP6CE;;;6;;;12;22;;OLIVA 44;GARAGE PRATI FISCALI 199A;;USO;25/01/2023;S;
2425;CSQ;EP6CE;;;6;;;6;22;;PAVIA 110;CAPITANATA 8;;USO;27/06/2022;RI;
2426;CSQ;EP6CE;;;6;;;12;22;;CELSO 3;FLORA 19;;USO;17/01/2023;S;
2427;CSQ;EP6CE;;;6;;;2;23;;MENGOTTI 55;GUICCIOLI 5;;USO;10/03/2023;S;
2428;CSQ;EP6CE;;;6;;;10;22;;IRIS 26;AMENDOLA 96;;USO;16/11/2022;S;
2429;CSQ;EP6CE;;;6;;;10;22;;IRIS 26;AMENDOLA 96;;USO;16/11/2022;S;
2430;;EP6CE;;;6;;;12;22;;CASALOTTI 342;MANLIO TORQUATO 50;;USO;01/02/2023;S;
2431;ABS;EP6CE;;;6;;;5;22;;ASQUINI 95-99;MOMA ;;USO;23/08/2022;GIO;
2432;CSQ;EP6CE;;;6;;;10;22;;IRIS 26;AMENDOLA 96;;USO;16/11/2022;S;
2433;CSQ;EP6CE;;;6;;;10;22;;IRIS 26;MACAO;;USO;04/11/2022;S;
2434;CSQ;EP6CE;;;6;;;10;22;;IRIS 26;REVOLTELLA 106;;USO;23/11/2022;S;
2435;ABS;EP6CE;;;6;;;5;22;;RAPPINI 23;ASQUINI 95-99;;USO;15/06/2022;RI;
2436;;EP6CE;;;6;;;3;23;;CASALOTTI 342;LUDOVICO DI MONREALE;;USO;11/04/2023;S;
2437;CSQ;EP6CE;;;6;;;5;22;;CASALOTTI 342;ASQUINI 95-99;;USO;15/06/2022;RI;
2438;CSQ;EP6CE;;;6;;;12;22;;CELSO 3;BONIFACIO VIII° 26;;USO;12/01/2023;S;
2439;CSQ;EP6CE;;;6;;;5;22;;CASALOTTI 342;IPPOCRATE 23;;USO;17/06/2022;RI;
2440;CSQ;EP6CE;;;6;;;10;22;;BAR SBARBATI;BIXIO 71;;USO;22/12/2022;S;
2441;CSQ;EP6CE;;;6;;;10;22;;IRIS 26;ALTAVILLA IRPINA 7;;USO;26/01/2023;S;
2442;CSQ;EP6CE;;;6;;;5;22;;CASALOTTI 342;OGLIASTRA 8;;USO;17/06/2022;RI;
2443;CSQ;EP6CE;;;6;;;10;22;;IRIS 26;COVELLI 6;;USO;18/11/2022;S;
2444;CSQ;EP6CE;;;6;;;10;22;;IRIS 26;VILLA ALESSANDRA;;USO;17/11/2022;S;
2445;CSQ;EP6CE;;;6;;;10;22;;IRIS 26;COVELLI 6;;USO;18/11/2022;S;
2446;CSQ;EP6CE;;;6;;;5;22;;MASSINI 80;CAMPO BRUNO SCALA A;;USO;01/07/2022;RI;
2447;CSQ;EP6CE;;;6;;;10;22;;IRIS 26;VILLA ALESSANDRA;;USO;17/11/2022;S;
2448;CSQ;EP6CE;;;6;;;5;22;;OLIVA 44;BRIGHENTI 23 PAL C;;USO;27/06/2022;RI;
2449;CSQ;EP6CE;;;6;;;3;23;;GARAGE PRATI FISCALI 199A;TORTOLINI 38;;USO;18/05/2023;S;REV COM 3/23 
2450;CSQ;EP6CE;;;6;;;10;22;;MARINELLI 12;VILLA ALESSANDRA;;USO;17/11/2022;S;
2451;CSQ;EP6CE;;;6;;;10;22;;IRIS 26;VILLA ALESSANDRA;;USO;17/11/2022;S;
2452;CSQ;EP6CE;;;6;;;10;22;;IRIS 26;VILLA ALESSANDRA;;USO;17/11/2022;S;
2453;CSQ;EP6CE;;;6;;;10;22;;MACINGHI STROZZI 40;VILLA ALESSANDRA;;USO;17/11/2022;S;
2454;CSQ;EP6CE;;;6;;;4;24;;GARAGE PRATI FISCALI 199A;I GIARDINI DI AURELIA ANTICA 424;;USO;20/04/2023;S;
2455;CSQ;EP6CE;;;6;;;3;22;;SERLUPI 13;CORRIDONI 25;;USO;14/04/2022;RI;
2456;CSQ;EP6CE;;;6;;;3;22;;LAURENTINA 14;CORRIDONI 25;;USO;14/04/2022;RI;
2457;CSQ;EP6CE;;;6;;;10;22;;MACINGHI STROZZI 40;VILLA ALESSANDRA;;USO;17/11/2022;S;
2458;CSQ;EP6CE;;;6;;;10;22;;LAURENTINA 14;VILLA ALESSANDRA;;USO;17/11/2022;S;
2459;CSQ;EP6CE;;;6;;;10;22;;LAURENTINA 14;VILLA ALESSANDRA;;USO;17/11/2022;S;
2460;;EP6CE;;;6;;;4;24;;SERLUPI 13;I GIARDINI DI AURELIA ANTICA 424;;USO;20/04/2023;S;
2461;CSQ;EP6CE;;;6;;;4;24;;ASQUINI 95-99;I GIARDINI DI AURELIA ANTICA 424;;USO;20/04/2023;S;
2462;CSQ;EP6CE;;;6;;;4;24;;ASQUINI 95-99;I GIARDINI DI AURELIA ANTICA 424;;USO;20/04/2023;S;
2463;CSQ;EP6CE;;;6;;;4;24;;ASQUINI 95-99;I GIARDINI DI AURELIA ANTICA 424;;USO;20/04/2023;S;
2464;CSQ;EP6CE;;;6;;;6;22;;SLIMDOGS PRODUCTIONS;ACERBI 11\22;;USO;12/07/2022;RI;
2465;;EP6CE;;;6;;;4;24;;VASI 18;I GIARDINI DI AURELIA ANTICA 424;;USO;20/04/2023;S;
2466;;EP6CE;;;6;;;4;24;;CAPITANATA 8;I GIARDINI DI AURELIA ANTICA 424;;USO;20/04/2023;S;
2467;CSQ;EP6CE;;;6;;;4;24;;ASQUINI 95-99;I GIARDINI DI AURELIA ANTICA 424;;USO;20/04/2023;S;
2468;CSQ;EP6CE;;;6;;;4;24;;ASQUINI 95-99;I GIARDINI DI AURELIA ANTICA 424;;USO;20/04/2023;S;
2469;CSQ;EP6CE;;;6;;;4;23;;ASQUINI 95-99;QUERINI 9;;USO;19/04/2023;S;
2470;CSQ;EP6CE;;;6;;;10;22;;ASQUINI 95-99;NUOVA ABRUZZO PAL B;;USO;31/10/2022;S;
2471;CSQ;EP6CE;;;6;;;4;23;;ASQUINI 95-99;NISIO 53;;USO;18/04/2023;S;
2472;;EP6CE;;;6;;;4;23;;ASQUINI 95-99;ADRIATICO 180;;USO;14/04/2023;S;
2473;ABS;EP6CE;;;6;;;3;23;;ASQUINI 95-99;BOX ODERISI DA GUBBIO 202;;USO;11/04/2023;S;
2474;;EP6CE;;;6;;;6;22;;RISERVA;AMENDOLA 96;;USO;16/11/2022;S;REV CSQ 6/22: Depressurizzato dopo 3 mesI
2475;CSQ;EP6CE;;;6;;;5;22;;PENTIMALLI 43;CO.GE.MA PAL A;;USO;01/07/2022;RI;
2476;ABS;EP6CE;;;6;;;5;22;;PENTIMALLI 43;COOP. VASCARELLE;;USO;01/07/2022;RI;
2477;CSQ;EP6CE;;;6;;;2;23;;CAMILLA 9;ORSA MAGGIORE 111;;USO;06/03/2023;S;
2478;;EP6CE;;;6;;;3;23;;JORINI 7;BARBATO 28 - E5;;USO;15/03/2023;S;
2479;CSQ;EP6CE;;;6;;;2;23;;CITTA' DELLA PIEVE 19;SUPERCONDOMINIO FRATTI-COLONNA-FRUGIUELE;;USO;07/03/2023;S;
2480;CSQ;EP6CE;;;6;;;2;23;;APPIA NUOVA 397;PELLATI 60;;USO;09/03/2023;S;
2481;CSQ;EP6CE;;;6;;;3;23;R;GONZAGA 148;;;USO;13/03/2023;G;
2482;CSQ;EP6CE;;;6;;;3;23;R;GONZAGA 148;;;USO;13/03/2023;G;
2483;ABS;EP6CE;;;6;;;4;23;;LA VERDE PINETA;REVOLTELLA 108;;USO;21/04/2023;S;
2484;;EP6CE;;;6;;;3;23;R;GONZAGA 148;;;USO;13/03/2023;G;
2485;CSQ;EP6CE;;;6;;;3;23;;PELLATI 60;RAPPINI 23;;USO;06/04/2023;S;
2486;CSQ;EP6CE;;;6;;;3;23;;ORSA MAGGIORE 111;VIGNA PIA 32;;USO;07/04/2023;S;
2487;CSQ;EP6CE;;;6;;;4;23;;BARBATO 28-E 5;CRESCENZIO 91;;USO;20/04/2023;S;
2488;CSQ;EP6CE;;;6;;;4;23;;BARBATO 28-E 5;SANTA BIBIANA;;USO;18/04/2023;S;
2489;CSQ;EP6CE;;;6;;;;;;Magazzino;LA PINETINA PAL N;;USO;08/03/2021;RI;
2490;CSQ;EP6CE;;;6;;;3;23;;VIGNA STELLUTI 157;ROCCAPORENA 18;;USO;23/03/2023;S;
2491;CSQ;EP6CE;;;6;;;3;23;;FLORA 19;BOX ODERISI DA GUBBIO 202;;USO;11/04/2023;S;Scaricato il 2 feb 23 da Comet - Polvere a loro carico
2492;CSQ;EP6CE;;;6;;;;;;DISPONIBILI;BASSA SABINA 2;;USO;11/11/2020;RI;
2493;CSQ;EP6CE;;;6;;;;;;DISPONIBILI;TITO LIVIO 135;;USO;06/11/2020;RI;
2494;CSQ;EP6CE;;;6;;;;;;DISPONIBILI;BORGO VITTORIO 5;;USO;09/11/2020;GIO;
2495;CSQ;EP6CE;;;6;;;3;23;;VIGNA STELLUTI 157;AUTORIMESSA RAPPINI 22;;USO;06/04/2023;S;
2496;CSQ;EP6CE;;;6;;;;;;DISPONIBILI;MONTE ZEBIO 37;;USO;14/12/2020;RI;
2497;;EP6CE;;;6;;;5;23;;SANTA BIBIANA;BORGO VITTORIO 5;;USO;17/05/2023;S;R COM 5/23
2498;CSQ;EP6CE;;;6;;;;;;DISPONIBILI;APPIA NUOVA 503;;USO;20/11/2020;RI;
2499;CSQ;EP6CE;;;6;;;4;23;;BARBATO 28-E 5;OLIVA 44;;USO;14/04/2023;S;
2500;CSQ;EP6CE;;;6;;;4;23;;BARBATO 28-E 5;CONCA D'ORO 221;;USO;14/04/2023;S;
2501;;EP6CE;;;6;;;4;23;;AUTORIMESSA RAPPINI 22;BELVEDERE GLI ACERI;;USO;26/04/2023;S;
2502;CSQ;EP6CE;;;6;;;;;;DISPONIBILI;VILLA SEVERINI 56;;USO;10/11/2020;GIO;
2503;CSQ;EP6CE;;;6;;;;;;DISPONIBILI;IPPOCRATE 23;;USO;14/12/2020;RI;
2504;;EP6CE;;;6;;;5;23;;CONCA D'ORO 221;MAURI 28;;USO;18/05/2023;S;R COM 5/23
2505;;EP6CE;;;6;;;4;23;;C. NE NOMENTANA 288;SAN CRESCENZIANO 11;;USO;14/04/2023;S;
2506;CSQ;EP6CE;;;6;;;9;22;;RISERVA;ARCA 26;;USO;21/10/2022;S;"CSQ  NUOVO 2020: Depressurizzato dopo 2 anni
REV CSQ: SET/22"
2507;CSQ;EP6CE;;;6;;;3;23;;CITTA' DELLA PIEVE 19;BOX ODERISI DA GUBBIO 202;;USO;11/04/2023;S;
2508;;EP6CE;;;6;;;5;23;;OLIVA 44;ROCCABRUNA 19;;USO;19/05/2023;S;R COM 5/23
2509;CSQ;EP6CE;;;6;;;3;23;;CITTA' DELLA PIEVE 19;RE-BELLA ;;USO;28/03/2023;S;
2510;CSQ;EP6CE;;;6;;;3;23;;CITTA' DELLA PIEVE 19;VERDE PINETA ;;USO;28/03/2023;S;
2511;CSQ;EP6CE;;;6;;;3;23;;VIGNA STELLUTI 157;NOMENTANA 288;;USO;23/03/2023;S;
2512;CSQ;EP6CE;;;6;;;3;23;;VIGNA STELLUTI 157;NOMENTANA 288;;USO;23/03/2023;S;
2513;CSQ;EP6CE;;;6;;;3;23;;VIGNA STELLUTI 157;CAMPANI 26;;USO;22/03/2023;S;
2514;;EP6CE;;;6;;;4;23;;RAPPINI 23;BELVEDERE GLI ACERI;;USO;26/04/2023;S;
2515;CSQ;EP6CE;;;6;;;3;23;;VIGNA STELLUTI 157;CAMPANI 26;;USO;22/03/2023;S;
2516;CSQ;EP6CE;;;6;;;3;23;;CITTA' DELLA PIEVE 19;BARBATO 28 - E5;;USO;15/03/2023;S;
2517;;EP6CE;;;6;;;4;23;;CAMPANI 26;BELVEDERE GLI ACERI;;USO;26/04/2023;S;
2518;CSQ;EP6CE;;;6;;;3;23;;GIANICOLENSE 179;BARBATO 28 - E5;;USO;15/03/2023;S;
2519;;EP6CE;;;6;;;4;23;;C. NE NOMENTANA 288;BELVEDERE GLI ACERI;;USO;26/04/2023;S;
2520;;EP6CE;;;6;;;5;23;;S. CRESCENZIANO 11;ROCCABRUNA 19;;USO;19/05/2023;S;R COM 5/23
2521;;EP6CE;;;6;;;4;23;;CAMPANI 26;BELVEDERE GLI ACERI;;USO;26/04/2023;S;
2522;CSQ;EP6CE;;;6;;;4;23;;VIGNA PIA 32;BELVEDERE GLI ACERI;;USO;26/04/2023;S;
2523;CSQ;EP6CE;;;6;;;4;23;;GONZAGA 148;BELVEDERE GLI ACERI;;USO;26/04/2023;S;
2524;CSQ;EP6CE;;;6;;;4;23;;GONZAGA 148;BELVEDERE GLI ACERI;;USO;26/04/2023;S;
2525;CSQ;EP6CE;;;6;;;;;;Magazzino;LA PINETINA PAL M;;USO;08/03/2021;RI;
2526;CSQ;EP6CE;;;6;;;4;23;;GONZAGA 148;BELVEDERE GLI ACERI;;USO;26/04/2023;S;
2527;CSQ;EP6CE;;;6;;;;;;Magazzino;LA FEDELISSIMA;;USO;08/03/2021;RI;
2528;CSQ;EP6CE;;;6;;;;;;CSQ GEN 2021;VENEZIA GIULIA 24;;USO;19/01/2021;RI;
2529;CSQ;EP6CE;;;6;;;;;;Magazzino;CRESCENZIO 91;;USO;15/04/2021;RI;
2530;CSQ;EP6CE;;;6;;;4;23;;GOZZADINI 72;BELVEDERE GLI ACERI;;USO;26/04/2023;S;
2531;ABS;EP6CE;;;6;;;4;23;;LA VERDE PINETA;BELVEDERE GLI ACERI;;USO;26/04/2023;S;
2532;CSQ;EP6CE;;;6;;;;;;Magazzino;JOYCE 44;;USO;01/03/2021;RI;
2533;CSQ;EP6CE;;;6;;;4;23;;ROCCAPORENA 18;BELVEDERE GLI ACERI;;USO;26/04/2023;S;
2534;CSQ;EP6CE;;;6;;;3;23;;FOTOGRAFIA 89/93;BARBATO 28 - E5;;USO;15/03/2023;S;
2535;CSQ;EP6CE;;;6;;;3;23;;TRASTEVERE 166/172;BARBATO 28 - E5;;USO;15/03/2023;S;
2536;CSQ;EP6CE;;;6;;;4;23;;GOZZADINI 72;BELVEDERE GLI ACERI;;USO;26/04/2023;S;
2537;CSQ;EP6CE;;;6;;;3;23;R;GONZAGA 148;;;USO;13/03/2023;G;
2538;CSQ;EP6CE;;;6;;;3;23;R;GOZZADINI 72;;;USO;13/03/2023;G;
2539;CSQ;EP6CE;;;6;;;;;;CSQ GEN 2021;VALLE BORBERA 24;;USO;15/01/2021;RI;
2540;;EP6CE;;;6;;;3;23;R;JORINI 7;ERETUM 8/16;;USO;27/03/2023;S;IN CAMBIO DELL' EP6 2020 SENZA CERTIFICATO
2541;;EP6CE;;;6;;;4;23;;FRATTI 3 - COLONNA 14 - FRUGIUELE 13;BELVEDERE GLI ACERI;;USO;26/04/2023;S;
2542;;EP6CE;;;6;;;4;23;;BOX ODERISI DA GUBBIO 202;BELVEDERE GLI ACERI;;USO;26/04/2023;S;
2543;;EP6CE;;;6;;;4;23;;BOX ODERISI DA GUBBIO 202;BELVEDERE GLI ACERI;;USO;26/04/2023;S;
2544;CSQ;EP6CE;;;6;;;;;;Magazzino;CIBRARIO 9;;USO;18/05/2021;RI;
2545;CSQ;EP6CE;;;6;;;;;;Magazzino;RAMPERTI 31;;USO;19/04/2021;RI;
2546;CSQ;EP6CE;;;6;;;;;;CSQ NOV 2021;OFFICINA MARIOTTI FAUSTO ;;USO;06/04/2022;RI;
2547;CSQ;EP6CE;;;6;;;;;;CSQ GIU 2021;ALTAVILLA IRPINA 7;;USO;12/07/2021;RI;
2548;;EP6CE;;;6;;;;;;AREZZO 24;VALLE DELLA STORTA 71C;;USO;26/10/2022;S;
2549;CSQ;EP6CE;;;6;;;;;;CSQ OTT 2021;STUDIO BIGANTI;;USO;15/12/2021;G;
2550;CSQ;EP6CE;;;6;;;;;;CSQ GIU 2021;GIANICOLENSE 179;;USO;12/07/2021;RI;
2551;CSQ;EP6CE;;;6;;;;;;CSQ LUG 2021;GOZZADINI 74;;USO;10/09/2021;RI;
2552;CSQ;EP6CE;;;6;;;;;;CSQ LUG 2021;ORSA MAGGIORE 111;;USO;07/09/2021;RI;
2553;CSQ;EP6CE;;;6;;;;;;CSQ GIU 2021;CAULONIA 12;;USO;21/07/2021;RI;
2554;CSQ;EP6CE;;;6;;;;;;CSQ NOV 2021;SERLUPI 13;;USO;11/01/2022;GIO;
2555;CSQ;EP6CE;;;6;;;;;;CSQ DIC 2021 (COMPRARE);ACERBI 11\22;;USO;25/01/2022;RI;
2556;CSQ;EP6CE;;;6;;;;;;CSQ OTT 2021;AUDIFREDI 10;;USO;11/10/2021;RI;
2557;CSQ;EP6CE;;;6;;;;;;CSQ DIC 2021 (COMPRARE);QUERINI 8\10;;USO;21/01/2022;RI;
2558;CSQ;EP6CE;;;6;;;;;;CSQ DIC 2021 (COMPRARE);QUERINI 8\10;;USO;21/01/2022;RI;
2559;CSQ;EP6CE;;;6;;;3;22;;RISERVA;CELSO 3;;USO;06/04/2022;RI;
2560;CSQ;EP6CE;;;6;;;;;;CSQ DIC 2021 (COMPRARE);CONDOMINIO DUE SAN GIOVANNI 139;;USO;19/01/2022;RI;
2561;CSQ;EP6CE;;;6;;;;;;CSQ DIC 2021 (COMPRARE);CONDOMINIO DUE SAN GIOVANNI 139;;USO;19/01/2022;RI;
2562;CSQ;EP6CE;;;6;;;;;;CSQ NOV 2021;CADLOLO 140;;USO;18/01/2022;RI;
2563;CSQ;EP6CE;;;6;;;;;;CSQ DIC 2021 (COMPRARE);TRASTEVERE 166/172;;USO;20/01/2022;RI;
2564;CSQ;EP6CE;;;6;;;;;;CSQ DIC 2021 (COMPRARE);TRASTEVERE 166/172;;USO;20/01/2022;RI;
2565;CSQ;EP6CE;;;6;;;;;;CSQ NOV 2021;FAVRETTO 5;;USO;04/01/2022;RI;
2566;CSQ;EP6CE;;;6;;;;;;CSQ NOV 2021;TEHERAN 15;;USO;10/01/2022;GIO;
2567;CSQ;EP6CE;;;6;;;;;;CSQ DIC 2021 (COMPRARE);CAMPO BRUNO 46 SC C;;USO;25/01/2022;RI;
2568;CSQ;EP6CE;;;6;;;;;;CSQ NOV 2021;GONZAGA 148;;USO;07/03/2022;RI;
2569;CSQ;EP6CE;;;6;;;;;;CSQ DIC 2021 (COMPRARE);BOX BONIFACIO VIII 26;;USO;20/01/2022;RI;
2570;CSQ;EP6CE;;;6;;;;;;CSQ NOV 2021;MACINGHI STROZZI 40;;USO;04/01/2022;RI;
2571;CSQ;EP6CE;;;6;;;;;;CSQ NOV 2021;FAVRETTO 5;;USO;04/01/2022;RI;
2572;CSQ;EP6CE;;;6;;;;;;CSQ NOV 2021;BOX 25;;USO;04/01/2022;RI;
2573;CSQ;EP6CE;;;6;;;;;;CSQ DIC 2021 (COMPRARE);FRAINE 85;;USO;19/01/2022;RI;
2574;CSQ;EP6CE;;;6;;;;;;CSQ NOV 2021;TEHERAN 15;;USO;10/01/2022;GIO;
2575;CSQ;EP6CE;;;6;;;;;;CSQ DIC 2021 (COMPRARE);CAMPO BRUNO 46 SC A;;USO;25/01/2022;RI;
2576;CSQ;EP6CE;;;6;;;;;;CSQ DIC 2021 (COMPRARE);VALSESIA 47;;USO;25/01/2022;RI;
2577;CSQ;EP6CE;;;6;;;;;;CSQ DIC 2021 (COMPRARE);CAMPO BRUNO 46 SC B;;USO;25/01/2022;RI;
2578;CSQ;EP6CE;;;6;;;;;;CSQ DIC 2021 (COMPRARE);FRAINE 85;;USO;19/01/2022;RI;
2579;CSQ;EP6CE;;;6;;;;;;CSQ DIC 2021 (COMPRARE);TRASTEVERE 166/172;;USO;20/01/2022;RI;
