ItemCode;ItemProviderCode;Description;CreationDate;IsActive;FILTRO PER TIPO;COLLAUDO         MESE     ANNO;;REVISIONE MESE   ANNO;;Intervento Richiesto;Provenienza;Destinazione;prog. Scheda;StateId;DataUltima Movimentazione;OperatoreUltimoMovimento;NOTE O PROBLEMI
186;;EP6CE;;;6;7;20;7;20;;POGGIOLI 4;;;INDISPONIBILI;16/06/2023;S;
187;;EP6CE;;;6;9;23;9;23;C+R;TARTANE 75;VIGNA PIA 121;20;TO COM OTT 23;17/08/2023;A;C+R COM 9/23
188;;EP6CE;;;6;9;23;9;23;C+R;TARTANE 75;VIGNA PIA 121;20;TO COM OTT 23;17/08/2023;A;C+R COM 9/23
189;CSQ;EP6CE;;;6;9;23;9;23;C+R;TARTANE 75;VIGNA PIA 121;20;TO COM OTT 23;17/08/2023;A;C+R COM 9/23
190;AIR;EP6CE;;;6;9;23;9;23;C+R;IL CEDRO;TARQUINIO PRISCO 67;34;TO COM OTT 23;17/08/2023;A;C+R COM 9/23
191;AIR;EP6CE;;;6;;;7;20;;AUTORIMESSA PORRO 1 BIS;;;INDISPONIBILI;12/06/2023;A;
192;AIR;EP6CE;;;6;;;7;20;;AUTORIMESSA PORRO 1 BIS;;;INDISPONIBILI;12/06/2023;A;
193;AIR;EP6CE;;;6;;;7;20;;AUTORIMESSA PORRO 1 BIS;;;INDISPONIBILI;12/06/2023;A;
194;PAM;EP6CE;;;6;;;7;20;;AUTORIMESSA PORRO 1 BIS;;;INDISPONIBILI;12/06/2023;A;
195;SCARD.;EP6CE;;;6;;;7;20;;TARTANE 75;;;INDISPONIBILI;06/07/2023;S;
196;SCARD.;EP6CE;;;6;;;7;20;;TARTANE 75;;;INDISPONIBILI;06/07/2023;S;
197;SIRE;EP6CE;;;6;;;7;20;;TARTANE 75;;;INDISPONIBILI;06/07/2023;S;
198;MOLAJONI;EP6CE;;;6;;;6;21;;DE COLMAR 4;;;INDISPONIBILI;08/06/2023;S;REV CSQ 9/20: Depressurizzato Dopo 8 mesi
199;;EP6CE;;;6;;;7;20;;VIGNA STELLUTI 157;;;INDISPONIBILI;07/07/2023;S;REV CSQ 9/19: Depressurizzato dopo 10 mesi
200;;EP6CE;;;6;;;7;20;;AUTORIMESSA PORRO 1 BIS;INDISPONIBILI;;INDISPONIBILI;27/06/2023;A;
201;AIR;EP6CE;;;6;;;7;20;;AUTORIMESSA PORRO 1 BIS;AUTORIMESSA PORRO 1 BIS;;INDISPONIBILI;12/06/2023;A;
202;;EP6CE;;;6;;;7;20;;MINGAZZINI 5;;;INDISPONIBILI;20/06/2023;S;
203;GIBI;EP6CE;;;6;;;7;20;;POGGIOLI 4;;;INDISPONIBILI;16/06/2023;S;
204;AIR;EP6CE;;;6;9;23;9;23;C+R;SUTRI 5;ANGELINI 33;15;TO COM OTT 23;17/08/2023;A;"REV CSQ 11/19: Depressurizzato dopo 6 mesi
C+R COM 9/23"
205;;EP6CE;;;6;9;23;9;23;C+R;ANGELUCCI;COOP VESSILLO;11;TO COM OTT 23;17/08/2023;A;C+R COM 9/23
206;SIRE;EP6CE;;;6;9;23;9;23;C+R;BONIFACIO VIII° 22;LE MAGNOLIE 3;4;TO COM OTT 23;17/08/2023;A;C+R COM 9/23
207;PIM;EP6CE;;;6;;;9;23;R;POMPEO NERI 6/9;DE CAROLIS 90;50;TO COM OTT 23;17/08/2023;A;R COM 9/23
208;;EP6CE;;;6;;;12;20;;COMPLESSO FANELLA;;;INDISPONIBILI;05/07/2023;S;
209;AIR;EP6CE;;;6;;;7;20;;CATANIA 1;;;INDISPONIBILI;16/06/2023;S;REV + COLL CSQ 9/18: Depressurizzato alla consegna
210;;EP6CE;;;6;;;12;20;;COMPLESSO FANELLA;;;INDISPONIBILI;05/07/2023;S;
211;AIR;EP6CE;;;6;;;7;20;;POMPEO NERI 6/9;;;INDISPONIBILI;10/07/2023;S;
212;;EP6CE;;;6;;;7;20;;ISONZO 118/120;;;INDISPONIBILI;25/05/2023;A;
213;CSQ;EP6CE;;;6;;;7;20;;POMPEO NERI 6/9;;;INDISPONIBILI;10/07/2023;S;
214;AIR;EP6CE;;;6;;;7;20;;ALTAVILLA IRPINA 7;;;INDISPONIBILI;14/07/2023;S;
